Time,Show,Episode,Youtube Video ID
12:00am,Are You Being Served?,Roots?,
12:30am,Keeping Up Appearances,Episode 33,
1:00am,"Yes, Minister",The Key,
1:30am,Rocky & Bullwinkle,Episode 136,
2:00am,Stickin Around,Jumbo Frank / Owed To A Tree,
2:30am,Rugrats,A Rugrats Kwanzaa,
3:00am,Gundam Wing,Heroine Of The Battlefield,
3:30am,CatDog,Just Say CatDog Sent Ya / Dog's Strange Condition,
4:00am,Hey Arnold!,Sid's Revenge / Roller Coaster,
4:30am,Uh Oh!,Episode 111,
5:00am,Digimon Tamers,A Chance Encounter,
5:30am,Pokémon,Stun Spore Detour,
6:00am,Babar,Unsalted Sea Serpent,
6:30am,Rupert,Rupert and the Cloud Pirates,
7:00am,Monster By Mistake,Special Talent,
7:30am,CatDog,Home Is Where the Dirt Is / New Leash on Life,
8:00am,Rugrats,Las Vegas Vacation Special,
8:30am,Little Bear,Episode 8,
9:00am,Rupert,Rupert and the Cloud Pirates,
9:30am,Babar,Never Cry Alien!,
10:00am,Anatole,My Favorite Mouse,
10:30am,Fuzzpaws,Opposites Attract,
11:00am,Elliot Moose,Episode 21,
11:30am,Monster By Mistake,Live From Pickford,
12:00pm,Uh Oh!,Episode 136,
12:30pm,Mona The Vampire,The Skeleton Cowboy / Men in Dark Suits,
1:00pm,Anatole,My Favorite Mouse,
1:30pm,An American Tail: Fievel Goes West (1991),,
2:00pm,,,
2:30pm,,,
3:00pm,The Angry Beavers,Muscular / Sang'Em High,
3:30pm,Dexter's Laboratory,Spacecase/The Justice Friends: Ratman/Dexter's Debt,
4:00pm,The Powerpuff Girls,Buttercrush / Fuzzy Logic,
4:30pm,Hey Arnold!,Grandpa's Birthday / Road Trip,
5:00pm,Pokémon,"Hello, Pummelo",
5:30pm,Digimon,Destiny In Doubt,
6:00pm,As Told By Ginger,Carl And Maude,
6:30pm,Yvon of the Yukon,An F In Friendship,
7:00pm,SpongeBob SquarePants,Hall Monitor / Jellyfish Jam,
7:30pm,"Big Teeth, Bad Breath",A Rabbit For All Seaons,
8:00pm,Dragon Ball Z,Children Of Cell Attack,
8:30pm,Freaky Stories,A Word From Our Sponsor,
9:00pm,The New Addams Family,"Granny, The Happy Medium",
9:30pm,Breaker High,When In Rome,
10:00pm,Radio Active,Mr. Moneybags,
10:30pm,Student Bodies,Mag's Birthday,
11:00pm,Big Wolf on Campus,Scary Terri,
11:30pm,Lucy Sullivan is Getting Married,To The Airport,
