Time,Show,Episode,Image
12:10am,Are You Being Served?,Roots?,""
12:42am,Keeping Up Appearances,Episode,""
1:20am,My Family,Death & Ben Take A Holiday,""
2:00am,2point4 Children,Badger's Band,""
2:33am,Radio Active,Cyrano De Internet,""
3:05am,Big Wolf On Campus,I Dream of Becky,""
3:36am,Medabots,Running Scared,""
4:00am,Superfriends,Sinbad And The Space Pirates,""
4:30am,Sailor Moon,Sweet Dreams,""
5:00am,Pokémon,Pokeball Peril,""
5:30am,ReBoot,High Code,""
6:00am,Mona the Vampire,Bird Boy / Flower Power,""
6:30am,Monster by Mistake,Cops And Monsters,""
7:00am,Sailor Moon,Dreams Take Flight,""
7:30am,Hamtaro,Diamonds Of Sugar,""
8:00am,Rugrats,Accidents Happen / Pee Wee Scouts,""
8:30am,Uh Oh!,Episode 220,""
9:00am,Little Bear,Episode 23,""
9:30am,Babar,Radio Riot,""
10:00am,Rupert,Rupert & The Great Mephisto,""
10:30am,Dumb Bunnies,Ghost Of A Chance,""
11:00am,George and Martha,"The Costumed Duo / Temper, Temper",""
11:30am,Stickin' Around,The Great Outside / The Treasure of Sierra Latchkey,""
12:00pm,Sailor Moon,Time Bomb,""
12:30pm,Hamtaro,Diamonds Of Sugar,""
1:00pm,Monster by Mistake,Live From Pickford,""
1:30pm,Pokémon The Movie 2000 (1999),""
2:00pm
2:30pm
3:00pm,Zoids,Sensational Three,""
3:30pm,Zero Is Stolen,""
4:00pm,X-Men: Evolution,African Storm,""
4:30pm,Joyride,""
5:00pm,Justice League,The Brave & The Bold (Part 1),""
5:30pm,The Brave & The Bold (Part 2),""
6:00pm,2030 CE,Happy Destiny Day,""
6:30pm,Ch-Ch-Ch-Changes,""
7:00pm,First Assignment,""
7:30pm,Cat and Mouse,""
8:00pm,The Lord Helps Those Who Help Themselves,""
8:30pm,Free Jake,""
9:00pm,Strange Medicine,""
9:30pm,The Whole Truth,""
10:00pm,Do You Know who Your Friends Are?,""
10:30pm,Live Bait,""
11:00pm,Trial and Punishment,""
11:30pm,Into the Lion's Lair,""
