Time,Show,Episode
12:00am,Gilmore Girls,Double Date
12:30am,,
1:00am,What I Like About You,Europe Was So Much More
1:30am,Girlz TV,Episode 70
2:00am,Ready or Not,Great Is...Great
2:30am,Fries with That?,The Prankster
3:00am,Radio Active,The Model
3:30am,Mental Block,Strangers In The Night
4:00am,15/Love,"Squib, Inc"
4:30am,Girlstuff/Boystuff,Discount Fever / Citizen Cane
5:00am,Mystery Hunters,Dragons / Sewer Gators
5:30am,Timeblazers,Off With His Head
6:00am,Seven Little Monsters,Clean Sweep / Cried Ouch
6:30am,Hamtaro,Penolope Makes A Friend
7:00am,The New Woody Woodpecker Show,Temper/Classic/Crash
7:30am,Rugrats,Big Showdown / Dr.Susie
8:00am,SpongeBob SquarePants,Fools In April / Neptune's Spatula
8:30am,Mona the Vampire,The Man with Nine Lives / Yak of the Yammering Yam
9:00am,Lazytown,Welcome To Lazytown
9:30am,Monster by Mistake,Fossil Remains
10:00am,Rupert,Rupert & Little Yum
10:30am,Seven Little Monsters,Spooky
11:00am,Hamtaro,The Scary School Principal!
11:30am,Flying Rhino Junior High,Phantu's Curse
12:00pm,"The Adventures of Jimmy Neutron, Boy Genius",Brobot / The Big Pinch
12:30pm,Jacob Two-Two,Jacob Two-Two & The Mystery Of The Malty Mcguffie
1:00pm,George Shrinks,Down The Drain
1:30pm,Care Bears,Grumpy The Clumsy / Purple Carrot
2:00pm,Mona the Vampire,Terminate Her / 18 Holes To Oblivion
2:30pm,Lazytown,Welcome To Lazytown
3:00pm,Jacob Two-Two,Jacob Two-Two & The Pirated Pastry
3:30pm,Martin Mystery,"They Come From Outer Space, Part 1"
4:00pm,"The Adventures of Jimmy Neutron, Boy Genius",Brobot / The Big Pinch
4:30pm,Teen Titans,The Sum Of His Parts
5:00pm,The Fairly OddParents,Cosmo Con / Wanda's Day Off
5:30pm,My Life as a Teenage Robot,Sibling Tsunami / I Was A Preschool Dropout
6:00pm,SpongeBob SquarePants,Fools In April / Neptune's Spatula
6:30pm,All Grown Up,Saving Cynthia
7:00pm,"Olive, the Other Reindeer (1999)",
7:30pm,,
8:00pm,Dragon Ball,Watch Out For Yajirobe
8:30pm,Inuyasha,Naraku's True Identity Revealed
9:00pm,Mystery Hunters,Brown Mountain Lights / Spoon Bending
9:30pm,Dark Oracle,Idolized
10:00pm,Radio Active,Bully For You
10:30pm,Fries with That?,"Peace, Love & Misunderstanding"
11:00pm,Ready or Not,"Hello, Goodbye"
11:30pm,My Family,Unkindest Cut
