Time,Show,Episode,Image
12:00am,The Fresh Prince of Bel-Air,The Way We Were,""
12:30am,Sabrina the Teenage Witch,Silent Movie,""
1:00am,What I Like About You,Dangerous Liaisons,""
1:30am,Smallville,X-Ray,""
2:00am
2:30am,Sabrina the Teenage Witch,Silent Movie,""
3:00am,Mystery Hunters,Oracle / Cursed Fort,""
3:30am,Funpak,Gruesomestein's Monsters (Parts 4-6),""
4:00am,Being Ian,The Curse,""
4:30am,Yu-Gi-Oh!,"Battle for the Bronze, Part 3",""
5:00am,Pokémon Advanced,A Poached Ego!,""
5:30am,Beyblade,Breaking the Ice,""
6:00am,Monster by Mistake,Moving Day,""
6:30am,Mona the Vampire,Curse of the Mummy's Tomb / Freaky the Snowman,""
7:00am,Winx Club,Princess of Tides,""
7:30am,Jacob Two-Two,Jacob Two-Two and the Simian Switcheroo,""
8:00am,The Boy,Pressure Factor,""
8:30am,Brady's Beasts,How to Turn Your Pet Into a Monster / How to Heal a Howler's Heart,""
9:00am,LazyTown,LazyTown's Greatest Hits,""
9:30am,Monster By Mistake,Robo Fuzz,""
10:00am,SpongeBob SquarePants,Sandy's Rocket / Squeaky Boots,""
10:30am,Jacob Two-Two,Jacob Two-Two and Scholars for Dollars,""
11:00am,ChalkZone,Brainy Bitsy / Teachers Lounge / 2:40,""
11:30am,Being Ian,Catch Me if You Cane,""
12:00pm,The Fairly OddParents,Back to the Norm / Teeth for Two,""
12:30pm,Brady's Beasts,How to Turn Your Pet Into a Monster / How to Heal a Howler's Heart,""
1:00pm,Charlotte's Web 2: Wilbur's Great Adventure (2003),""
1:30pm
2:00pm
2:30pm,LazyTown,Crystal Caper,""
3:00pm,Jacob Two-Two,Jacob Two-Two and the Fantastic Fountain,""
3:30pm,Yu-Gi-Oh!,"One Step Ahead, Part 1",""
4:00pm,Teen Titans,"The End, Part 3",""
4:30pm,Danny Phantom,Maternal Instinct,""
5:00pm,The Fairly OddParents,Timmy's 2D House of Horror / It's a Wishful Life,""
5:30pm,SpongeBob SquarePants,SpongeBob's House Party (Party Pooper Pants),""
6:00pm,Being Ian,Snow Fun,""
6:30pm,Martin Mystery,Attack of the Sandman,""
7:00pm,Justice League Unlimited,The Ties that Bind,""
7:30pm,Zixx: Level Two,Dwayne's World,""
8:00pm,SpongeBob SquarePants,Chocolate with Nuts / Mermaid Man and Barnacle Boy III,""
8:30pm,Sabrina the Teenage Witch,Sabrina's Real World,""
9:00pm,15/Love,The French Deception,""
9:30pm,Every Do Has Its Day,""
10:00pm,My Famly,The Mouthtrap,""
10:30pm,Bob and Margaret,Cuckoo in the Nest,""
11:00pm,InuYasha,Terror of the Faceless Man,""
11:30pm,Witch Hunter Robin,In My Pocket
