Time,Show,Episode,Image
"",12:00am,Teen Titans Go!,Master Detective,""
"",12:15am,Teen Titans Go!,Easter Creeps,""
"",12:30am,Teen Titans Go!,The Avogodo,""
"",12:45am,Teen Titans Go!,Hand Zombie,""
"",1:00am,The Amazing World of Gumball,The Catfish,""
"",1:15am,The Amazing World of Gumball,The Cycle,""
"",1:30am,The Amazing World of Gumball,The Stars,""
"",1:45am,The Amazing World of Gumball,The Box,""
"",2:00am,Superman: Man of Tomorrow
"",3:45am,Best & Bester,Stuck Inside,""
"",4:00am,Cloudy With a Chance of Meatballs,The Happy Sardine; Less Ordinary People,""
"",4:30am,Best & Bester,That's so Cupid; Buddy Odour,""
"",5:00am,Ollie’s Pack,"Slice of Life; Goodnight, Sleep Fright",""
"",5:30am,Scaredy Squirrel,Day of the Strackal; The Dave n Dave,""
"",6:00am,Ollie’s Pack,Ollie in the House; The Ollie Files,""
"",6:30am,Scaredy Squirrel,Ice Cream Headache; Buck Up Buck,""
"",7:00am,The Amazing World of Gumball,The Matchmaker,""
"",7:15am,The Amazing World of Gumball,The Grades,""
"",7:30am,The Amazing World of Gumball,The Diet,""
"",7:45am,The Amazing World of Gumball,The Ex,""
"",8:00am,Teen Titans Go!,Employee of the Month Redux,""
"",8:15am,Teen Titans Go!,Orangins,""
"",8:30am,Teen Titans Go!,Jinxed,""
"",8:45am,Teen Titans Go!,Brain Percentages,""
"",9:00am,Beyblade X,Our Promise,""
"",9:30am,Best & Bester,Stage Struck; Ball Count,""
"",10:00am,Ollie’s Pack,Ollie in the House; The Ollie Files,""
"",10:30am,Scaredy Squirrel,Ice Cream Headache; Buck Up Buck,""
"",11:00am,Cloudy With a Chance of Meatballs,It's About Time; Self-Helpie,""
"",11:30am,Best & Bester,Stage Struck; Ball Count,""
"",12:00pm,Mermicorno: Starfall,Total Eclipse of My Heart,""
"",12:30pm,Mermicorno: Starfall,Aftershocks,""
"",1:00pm,Ollie’s Pack,Ollie in the House; The Ollie Files,""
"",1:30pm,Cloudy With a Chance of Meatballs,It's About Time; Self-Helpie,""
"",2:00pm,Cloudy With a Chance of Meatballs,Happy Clappy Monkey; Robot Rumble,""
"",2:30pm,Best & Bester,Stage Struck; Ball Count,""
"",3:00pm,Mermicorno: Starfall,Total Eclipse of My Heart,""
"",3:30pm,Mermicorno: Starfall,Aftershocks,""
"",4:00pm,The Amazing World of Gumball,The Matchmaker,""
"",4:15pm,The Amazing World of Gumball,The Grades,""
"",4:30pm,The Amazing World of Gumball,The Diet,""
"",4:45pm,The Amazing World of Gumball,The Ex,""
"",5:00pm,Teen Titans Go!,Employee of the Month Redux,""
"",5:15pm,Teen Titans Go!,Orangins,""
"",5:30pm,Teen Titans Go!,Jinxed,""
"",5:45pm,Teen Titans Go!,Brain Percentages,""
"",6:00pm,Popularity Papers,Livin' on a Dare,""
"",6:30pm,Mr. D,Coach of the Year,""
"",7:00pm,The SpongeBob Movie: Sponge Out of Water
"",9:00pm,The SpongeBob Movie: Sponge Out of Water
"",11:00pm,Mr. D,Coach of the Year,""
"",11:30pm,Pick a Puppy,Puppy Party,""
