Time,Show,Episode,Youtube Video ID
12:00am,Are You Being Served?,Sit Out,eQ_GU8UzAzI
12:30am,Keeping Up Appearances,Episode 24,hJbIWakkNNI
1:00am,"Yes, Minister",Doing the Honours,MCntdOZcXjA
1:30am,Rocky & Bullwinkle,Episode 53,1Igc5kXHNFE
2:00am,Hey Arnold!,Crabby Author/Rich Kid,Xl6opgJP6QA
2:30am,Roswell Conspiracies,The Bait (Part 1),b5ciQ3tXNL0
3:00am,Three Friends & Jerry,Episode 24,Nq5c7cqiwdo
3:30am,Batman,House and Garden,KLUphIp8tbA
4:00am,Dragon Ball Z,Get Vegeta,RHqDW7aVBTE
4:30am,Digimon,It's All in the Cards,yYQR9WkyMHI
5:00am,Pokémon,Hypno's Naptime,XwpbJK-WE8Q
5:30am,Roswell Conspiracies,The Vodun Uprising,iduxjG4iSYE
6:00am,Once Upon a Hamster,The Visit,N2tFKWIDhdQ
6:30am,Monster By Mistake,Soap Box Derby,SJG6P1j9STQ
7:00am,Kleo the Misfit Unicorn,Jazz and Blues,7enrUamgRkE
7:24am,Adventures of Spot,Spot Stays Overnight,PUFO41bjNyQ
7:30am,Anthony Ant,Dances With / Kid For A,_JXYefumbbs
8:00am,Pippi Longstocking,Pippi Enters the Big Race,IC3NlX39Tyo
8:30am,George & Martha,The Misunderstanding / The Secret Club,KbF5DGFnBs8
9:00am,Rupert,Rupert and the Paper Fold,IhgYw0icRFU
9:24am,Pablo the Little Red Fox,Nest For FOur,KoPK8KxXM3M
9:30am,St. Bear's Dolls Hospital,The Tooth Fairy,RnYxiFhp15w
9:44am,Beezoo's Attic,The Parade,tkCBa3ONXZ4
10:00am,Kitty Cats,Grampa Victor / Roderick,EhkN69D697Y
10:30am,Babar,The Gift,DSP7PkZskIM
11:00am,Kleo the Misfit Unicorn,Pride of Small Potatoes,
11:24am,Adventures of Spot,Spot Goes To The Farm,TzBwKgi_MJw
11:30am,George & Martha,The Misunderstanding / The Secret Club,KbF5DGFnBs8
11:52pm,Elliot Moose,The Case of the Haunted,bid0-ZC4PWM
12:00pm,Sailor Moon,A New Nightmare,-JxwA2VxBDM
12:30pm,Uh Oh!,Episode 50,A6o4gNKGRl0
1:00pm,Kitty Cats,Pip-Pop / Lion and Mouse,ZAlYpNfFcx0
1:30pm,Babar,The Gift,DSP7PkZskIM
2:00pm,St. Bear's Dolls Hospital,The Tooth Fairy,RnYxiFhp15w
2:15pm,Beezoo's Attic,The Parade,tkCBa3ONXZ4
2:30pm,Rupert,Rupert and the Paper Fold,IhgYw0icRFU
3:00pm,Pippi Longstocking,Pippi Enters the Big Race,IC3NlX39Tyo
3:30pm,Uh Oh!,Episode 88,mNJ62vh-Tos
4:00pm,Rugrats,Bad Shoes/The World According to Dil & Spike/Falling Star,NwmG4iTJYD4
4:30pm,Hey Arnold!,Helga Blabs It All / Harold the Butcher,OPUgIcazfpM
5:00pm,Mummies Alive!,A Dark & Shrieky Night,YAwbrt6M54U
5:30pm,Pokémon,Fashion Flash,lKggkmrv7q4
6:00pm,Digimon,Return To Highton,1jMdc3kQAg4
6:30pm,Monster By Mistake,Entertaining Orville,yhOkRh8-xF8
7:00pm,Mona The Vampire,Spirit of the Woods / The Bogeyman Cometh,ytzZbDejcIg
7:30pm,Reboot,The Great Brain Robbery,zmnnIY8TGgc
8:00pm,Dragon Ball Z,Vegeta Revived,XD-whbrI3RY
8:30pm,Radio Active,Blackmail,H8lOomp7LUk
9:00pm,Big Wolf On Campus,The Sandman Cometh,V8hUcGcLmyA
9:30pm,Student Bodies,Mag's Dark Side,lRCQfpGEsgE
10:00pm,Freaky Stories,Episode 23,4IBMVhFGk0Q
10:30pm,Goosebumps,The Headless Ghost,HPajFSDF8dU
11:00pm,Worst Witch,Learning The Hard Way,CtMlKlF7FaE
11:30pm,Incredible Story Studio,Mars Attack!,BKOlzq_PylQ
