Show Name,Date Aired,Episode Name
Home and Away,1988-09-01,Episode 1
Home and Away,1990-05-28,Episode 413
Home and Away,1991-04-29,Episode 526
Home and Away,1991-05-02,Episode 527
Home and Away,1991-05-03,Episode 528
Home and Away,1991-05-06,Episode 529
Home and Away,1991-05-10,Episode 531
Home and Away,1991-05-16,Episode 532
Home and Away,1991-05-17,Episode 533
Home and Away,1991-05-20,Episode 534
Home and Away,1991-05-23,Episode 535
Home and Away,1991-05-24,Episode 536
Home and Away,1991-05-27,Episode 536
Home and Away,1991-05-30,Episode 537
Home and Away,1991-05-31,Episode 538
Home and Away,1991-06-03,Episode 539
Home and Away,1991-06-06,Episode 540
Home and Away,1991-06-07,Episode 541
Home and Away,1991-06-10,Episode 542
Home and Away,1991-06-13,Episode 543
Home and Away,1991-06-14,Episode 544
Home and Away,1991-06-24,Episode 548
Home and Away,1991-06-27,Episode 549
Home and Away,1991-06-28,Episode 550
Home and Away,1991-07-01,Episode 551
Home and Away,1991-07-05,Episode 553
Home and Away,1991-07-08,(Danny stages an accident)
Home and Away,1991-07-11,(Stephen gets carried away with his fitness regime)
Home and Away,1991-07-12,(Frank is fired; Sally is determined to find partners for Tom and Pippa)
Home and Away,1991-07-15,Episode 557
Home and Away,1991-07-18,Episode 558
Home and Away,1991-07-19,Episode 559
Home and Away,1991-07-22,Episode 560
Home and Away,1991-07-25,Episode 561
Home and Away,1991-07-26,Episode 562
Home and Away,1991-07-29,Episode 563
Home and Away,1991-08-01,Episode 564
Home and Away,1991-08-02,Episode 565
Home and Away,1991-08-05,Episode 566
Home and Away,1991-08-08,Episode 567
Home and Away,1991-08-09,Episode 568
Home and Away,1991-08-15,Episode 570
Home and Away,1991-08-16,Episode 571
Home and Away,1991-09-02,Episode 578
Home and Away,1991-09-05,Episode 579
Home and Away,1991-09-08,Episode 3
Home and Away,1991-09-09,Episode 579
Home and Away,1991-09-10,Episode 4
Home and Away,1991-09-11,Episode 5
Home and Away,1991-09-12,Episode 6
Home and Away,1991-09-13,Episode 7
Home and Away,1991-09-14,Episode 8
Home and Away,1991-09-15,Episode 9
Home and Away,1991-09-16,Episode 10
Home and Away,1991-09-16,Episode 581
Home and Away,1991-09-17,Episode 11
Home and Away,1991-09-18,Episode 12
Home and Away,1991-09-19,Episode 13
Home and Away,1991-09-19,Episode 583
Home and Away,1991-09-20,Episode 14
Home and Away,1991-09-21,Episode 15
Home and Away,1991-09-22,Episode 16
Home and Away,1991-09-23,Episode 17
Home and Away,1991-09-23,Episode 584
Home and Away,1991-09-24,Episode 18
Home and Away,1991-09-25,Episode 19
Home and Away,1991-09-26,Episode 20
Home and Away,1991-09-26,Episode 585
Home and Away,1991-09-27,Episode 21
Home and Away,1991-09-28,Episode 22
Home and Away,1991-09-29,Episode 23
Home and Away,1991-09-30,Episode 24
Home and Away,1991-09-30,Episode 586
Home and Away,1991-10-01,Episode 25
Home and Away,1991-10-02,Episode 26
Home and Away,1991-10-03,Episode 27
Home and Away,1991-10-03,Episode 587
Home and Away,1991-10-04,Episode 28
Home and Away,1991-10-05,Episode 29
Home and Away,1991-10-06,Episode 30
Home and Away,1991-10-07,Episode 31
Home and Away,1991-10-07,Episode 588
Home and Away,1991-10-08,Episode 32
Home and Away,1991-10-09,Episode 33
Home and Away,1991-10-10,Episode 34
Home and Away,1991-10-10,(Floss wants to bring Ben to Summer Bay; Steven must stay away from Sandra)
Home and Away,1991-10-12,Episode 36
Home and Away,1991-10-13,Episode 37
Home and Away,1991-10-14,Episode 38
Home and Away,1991-10-14,Episode 590
Home and Away,1991-10-15,Episode 39
Home and Away,1991-10-16,Episode 40
Home and Away,1991-10-17,Episode 41
Home and Away,1991-10-17,Episode 591
Home and Away,1991-10-18,Episode 42
Home and Away,1991-10-19,Episode 43
Home and Away,1991-10-20,Episode 44
Home and Away,1991-10-21,Episode 45
Home and Away,1991-10-21,Episode 592
Home and Away,1991-10-22,Episode 46
Home and Away,1991-10-23,Episode 47
Home and Away,1991-10-24,Episode 48
Home and Away,1991-10-24,Episode 593
Home and Away,1991-10-25,Episode 49
Home and Away,1991-10-26,Episode 50
Home and Away,1991-10-27,Episode 51
Home and Away,1991-10-28,Episode 52
Home and Away,1991-10-28,Episode 594
Home and Away,1991-10-29,Episode 53
Home and Away,1991-10-30,Episode 54
Home and Away,1991-10-31,Episode 55
